,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
102,IT/인터넷 | 전직원 | 경기 | 2019/2/25,발빠르게 움직이는 IT업계의 동향 파악 가능이 가능했습니다,국내 1위 포털사이트의 자부심을 느낄 수 있었습니다,과도한 야근이 단점이라고 생각하지만 IT업계에서는 피할 수 없는 점이라 생각합니다,투명한 경영으로 언론 내외에서 발생하는 이슈가 줄었으면 합니다,2.0,4.0,2.0,4.0,3.0,3.0,2019-02-25 00:00:00, 경기 , 전직원 ,IT/인터넷 
103,IT/인터넷 | 전직원 | 경기 | 2019/2/21,국내 기업 중 개발경험을 제대로 해볼 수 있는 몇 안되는 회사 개발환경은 잘 갖춰져 있음 커리어 쌓아서 고연봉 회사로 이직하기에 이만한 회사도 없을듯,삼성전자와 비교를 하자면둘다 다녀본 입장으로서 개발 환경은 비교 할 수 없을 정도로 우월함 사내 개발 인프라가 잘 갖춰져 있어 제조업 회사에서 온 개발자들은 신세계를 경험 개발자들의 허드렛일이 상대적으로 적음문서작업이나 전화업무 ,주차장 헬 of 헬 통근버스 없는 거의 유일한 대기업 정자역에서도 꽤 거리가 있는편 사내 대출이 타 대기업들 대비 빵빵하지 못함있는지도 모르겠음 기본 연봉자체는 중견기업 수준이나 성과급이 실력에 따라 상당히 차등 사내 헬스장 없음,직원들 복지에 좀 더 신경을 써줬으면,4.0,4.0,3.0,4.0,3.0,3.6,2019-02-21 00:00:00, 경기 , 전직원 ,IT/인터넷 
104,IT/인터넷 | 현직원 | 경기 | 2019/2/21,엔지니어로서 다니기는 매우 좋은 곳 실력있는 소프트웨어 엔지니어가 많아서 처음 개발자로 커리어를 시작하기에도 좋고 시니어의 입장에서도 능력에 따라 큰 서비스를 담당해 볼 수 있다,연차를 윗사람 눈치 안 보고 쓸 수 있고 복지는 괜찮은 편임 위에 썼듯이 주니어나 시니어 모두에게 괜찮은 회사임,회사 내부의 의사소통이 탑다운 방식인 부분이 많아 네이버에 대한 소식을 제대로 전달받기 어려울 때가 있음 최근에 노조도 생김,합리적인 보상 체계와 사원들과의 의사소통의 장을 많이 만들어줬으면 좋겠다,5.0,4.0,5.0,4.0,3.0,4.2,2019-02-21 00:00:00, 경기 , 현직원 ,IT/인터넷 
105,IT/인터넷 | 전직원 | 서울 | 2019/2/20,한국 기업들 중에선 그나마 제일 좋은 편이긴 합니다,다른 한국 기업들과 비교했을때는 그래도 근무환경이 좋은 편이에요 야근도 많이하지만 상사들이 비교적 친절했습니다,단점은 좀 찾기가 힘들지만 굳이 찾을라면은 역시나 한국 기업들의 고유적인 문제인 높은 업무량과 낮은 연봉이 있을수 있겠습니다,점점 구글이 한국 시장에서 역전하고 있는데 좀 더 신경을 써서 네이버 만큼은 미국 회사에 밀리는 일이 없었으면 좋겠습니다,4.0,4.0,4.0,4.0,4.0,4.0,2019-02-20 00:00:00, 서울 , 전직원 ,IT/인터넷 
106,IT/인터넷 | 전직원 | 서울 | 2019/2/17,개발자가 대우받으면 보람차게 일할 수 있는 곳 다양한 개발 환경을 경험할 수 있는 곳,연차를 윗사람 눈치 안 보고 쓸 수 있음 도서구입비 학원 수강료 등 자기 계발 비용 지원 야근 식대 1만원까지 제공,단순 보고를 위한 무서 작업이 많아 비효율적 복지 제도가 다양함 연봉도 많음,신규 사업 추진에 적극적인 투자 의지를 보여줬으면 직원들의 불만을 듣지만 말고 해결책을 마련해줬으면 합리적인 복지 및 보상 체계를 마련해줌,3.0,3.0,3.0,3.0,3.0,3.0,2019-02-17 00:00:00, 서울 , 전직원 ,IT/인터넷 
107,IT/인터넷 | 전직원 | 경기 | 2019/2/14,복지도 좋고 할 수 있는 일을 하며 커리어를 키울 수 있는 곳,도서 구입비 복지비 등 여러 문화적인 지원이 뛰어남,다른 회사보다는 덜하지만 정치적이고 조직이 커지면서 단조로와짐,직원들의 모험심을 장려해주셨으면 합니다,5.0,5.0,5.0,4.0,4.0,4.6,2019-02-14 00:00:00, 경기 , 전직원 ,IT/인터넷 
108,마케팅/시장조사 | 전직원 | 경기 | 2019/2/13,기본적인 근무환경이 좋았음 단기간 아르바이트 하기에는 적합한 곳이라고 생각,업무 분위기가 수평적이라 다같이 편하게 일할 수 있었음 사내 식당이랑 까페 가격이 저렴해 아르바이트생도 부담없이 점심을 해결할 수 있음,처음 갔을때 초기 메뉴얼이 없어 아르바이트생끼리 같은 업무가 주어져도 다르게 처리해 재작업이 많았음 그리고 이후에도 수정사항이 너무 많이 생겨 23번 반복적으로 다시 작업하였음 미리 자세한 메뉴얼이 나와있었다면 좋았을 듯,아르바이트 생으로 3개월있어서 바라는점은 딱히 없다 근무 환경 괜찮았음,4.0,4.0,4.0,5.0,4.0,4.2,2019-02-13 00:00:00, 경기 , 전직원 ,마케팅/시장조사 
109,IT/인터넷 | 전직원 | 서울 | 2019/2/11,잘나가는 안정적인 국민기업 보편적인고 합리적인 업무,경력과 경험이 많은 사람들이 많이 있고 그들에게 배울점이 많이 있으며 많이 배우게 됨,너무 많은 사람들이 너무 많는 일을 나누어서 하면서 서로 알고 협력하기 어려운 구조 임,새로운 도전요소를 계속 제시 해주고 일 안하는 사람에 대한 페널티 필요,3.0,4.0,4.0,3.0,3.0,3.4,2019-02-11 00:00:00, 서울 , 전직원 ,IT/인터넷 
110,IT/인터넷 | 현직원 | 경기 | 2019/2/10,개발문화가 잘 잡혀있음 원하는 개발을 할 수 있고 재미있음,자율출퇴근이 잘 시행됨 수평문화라 눈치안보고 출퇴근 가능,회사의 성장률에 비해 복지의 성장률이 뒤쳐짐 점점 불통 기업을 되어가는 듯한 느낌,투명한 기업 운영 및 직원들의 목소리에 귀기울여주었으면,5.0,4.0,5.0,5.0,2.0,4.2,2019-02-10 00:00:00, 경기 , 현직원 ,IT/인터넷 
111,미디어/홍보 | 현직원 | 서울 | 2019/2/10,서비스 기획 경력직이 안착하기에는 좋은 곳 그러나 신입이라면 다시 고려해야 함, 워라밸을 잘 맞춰서 일을 할 수 있음  합리적인 동료들과 일을 하는 분위기, 최근 대박난 서비스의 부재가 불러오는 회사의 위기  프로덕트 만드는 사람이 아니라면 쳐주지 않는 회사 분위기,자리보존이 아니라 기업의 넥스트 스텝 어떻게 혁신해야 할 지 좀 더 고민해줬으면 함,3.0,4.0,4.0,3.0,2.0,3.2,2019-02-10 00:00:00, 서울 , 현직원 ,미디어/홍보 
